Date,Ticker,PX_LAST,PX_BID,log_ret
2003-10-13,IYT,12.8925,12.8825,0.015437531786335
2003-10-14,IYT,12.9625,12.89,0.0054148266126688
2003-10-15,IYT,12.86,12.83,-0.0079388547461722
2003-10-16,IYT,12.9,12.8625,0.003105592558153
2003-10-17,IYT,12.8425,12.7475,-0.0044673280083406
2003-10-20,IYT,12.7875,12.8,-0.004291852081541
2003-10-21,IYT,12.875,12.825,0.0068193152720549
2003-10-22,IYT,12.675,12.6425,-0.0156558970725527
2003-10-23,IYT,12.69,12.6475,0.0011827322490493
2003-10-24,IYT,12.62,12.66,-0.005531424613229
2003-10-27,IYT,12.745,12.5,0.0098561807150116
2003-10-28,IYT,12.8075,12.9125,0.0048918990031415
2003-10-29,IYT,12.955,12.99,0.0114508771828529
2003-10-30,IYT,13.1525,13.1,0.0151300406087519
2003-10-31,IYT,13.125,13.0725,-0.0020930461451376
2003-11-03,IYT,13.195,13.17,0.0053191614776
2003-11-04,IYT,13.2125,13.185,0.0013253812410687
2003-11-05,IYT,13.195,13.15,-0.0013253812410686
2003-11-06,IYT,13.4125,13.3725,0.0163491380015294
2003-11-07,IYT,13.4175,13.375,0.00037271711203
2003-11-10,IYT,13.285,13.255,-0.00992424585707
2003-11-11,IYT,13.1525,13.1125,-0.0100237245889515
2003-11-12,IYT,13.2175,13.2375,0.004929854504643
2003-11-13,IYT,13.2525,13.2125,0.0026445047523558
2003-11-14,IYT,13.125,13.1225,-0.0096674054021365
2003-11-17,IYT,12.94,12.96,-0.0141955194049328
2003-11-18,IYT,12.9275,12.8625,-0.0009664637845149
2003-11-19,IYT,12.865,12.86,-0.004846379554532
2003-11-20,IYT,12.85,12.8,-0.0011666343924787
2003-11-21,IYT,12.775,12.75,-0.0058536752514605
2003-11-24,IYT,12.9375,12.985,0.0126399349358197
2003-11-25,IYT,13.14,13.1025,0.0155309420308766
2003-11-26,IYT,13.1,13.1,-0.0030487828493587
2003-11-28,IYT,13.1575,13.1175,0.0043797080386912
2003-12-01,IYT,13.2775,13.3,0.00907893506862
2003-12-02,IYT,13.2625,13.1775,-0.0011303693743156
2003-12-03,IYT,13.25,13.1925,-0.0009429515078702
2003-12-04,IYT,13.1875,13.18,-0.004728141195946
2003-12-05,IYT,13.165,13.0725,-0.0017076182880125
2003-12-08,IYT,13.16,13.145,-0.0003798670511015
2003-12-09,IYT,13.19,13.1125,0.0022770408320519
2003-12-10,IYT,13.1,13.0725,-0.0068467365221173
2003-12-11,IYT,13.37,13.3375,0.0204011609067459
2003-12-12,IYT,13.305,13.315,-0.0048734866841992
2003-12-15,IYT,13.3275,13.165,0.0016896652851266
2003-12-16,IYT,13.26,13.2325,-0.0050775849570625
2003-12-17,IYT,13.27,13.22,0.0007538635863996
2003-12-18,IYT,13.2975,13.3175,0.0020701992902194
2003-12-19,IYT,13.3425,13.305,0.0033783815916271
2003-12-22,IYT,13.42,13.405,0.005791702317573
2003-12-23,IYT,13.39,13.3925,-0.0022379718404544
2003-12-24,IYT,13.375,13.34,-0.0011208669210108
2003-12-26,IYT,13.4175,13.375,0.0031725322867766
2003-12-29,IYT,13.56,13.5375,0.0105644574434026
2003-12-30,IYT,13.5075,13.465,-0.0038791957761656
2003-12-31,IYT,13.455,13.4175,-0.0038943025572146
2004-01-02,IYT,13.57,13.4125,0.0085106896679086
2004-01-05,IYT,13.5325,13.5025,-0.0027672741577818
2004-01-06,IYT,13.575,13.5375,0.003135666131003
2004-01-07,IYT,13.53,13.515,-0.0033204236373022
2004-01-08,IYT,13.4975,13.4925,-0.0024049590723916
2004-01-09,IYT,13.3975,13.3275,-0.0074363607234365
2004-01-12,IYT,13.485,13.475,0.0065098342048248
2004-01-13,IYT,13.47,13.4425,-0.0011129661694206
2004-01-14,IYT,13.5525,13.5075,0.0061060417300834
2004-01-15,IYT,13.4875,13.4525,-0.0048077015681031
2004-01-16,IYT,13.5625,13.5325,0.0055453007164251
2004-01-20,IYT,13.435,13.4375,-0.0094453892332235
2004-01-21,IYT,13.6275,13.645,0.0142265678888443
2004-01-22,IYT,13.7775,13.735,0.0109470168189544
2004-01-23,IYT,13.72,13.6725,-0.0041822044775141
2004-01-26,IYT,13.65,13.6625,-0.0051151006667703
2004-01-27,IYT,13.5675,13.525,-0.0060622946755458
2004-01-28,IYT,13.2825,13.22,-0.0212298476124614
2004-01-29,IYT,13.295,13.23,0.0009406453520217
2004-01-30,IYT,12.905,12.8625,-0.029773191524406
2004-02-02,IYT,12.83,12.76,-0.0058286545430319
2004-02-03,IYT,12.755,12.7075,-0.0058628270337702
2004-02-04,IYT,12.5825,12.6125,-0.0136163919253968
2004-02-05,IYT,12.6575,12.65,0.0059429651935491
2004-02-06,IYT,12.9,12.885,0.0189773865056991
